Dataset	N	Susceptible	Intermediate	Resistant	Prediction	%R	Categorical agreement	Categorical_agreement_conf_int_lower_bound	Categorical_agreement_conf_int_upper_bound	ME	ME_conf_int_lower_bound	ME_conf_int_upper_bound	VME	VME_conf_int_lower_bound	VME_conf_int_upper_bound	Sensitivity	Sensitivity_conf_int_lower_bound	Sensitivity_conf_int_upper_bound	Specificity	Specificity_conf_int_lower_bound	Specificity_conf_int_upper_bound
A (EUCAST)	2133	291	155	1687	R	79.09%	96.95%	96.22%	97.68%	3.59%	1.86%	5.31%	2.9%	2.1%	3.71%	97.1%	96.29%	97.9%	96.41%	94.69%	98.14%
A (EUCAST)	2133	291	155	1687	NWT	86.36%	91.37%	90.18%	92.57%	1.37%	0.04%	2.71%	9.77%	8.42%	11.13%	90.23%	88.87%	91.58%	98.63%	97.29%	99.96%
G (CLSI)	834	222	163	449	R	53.84%	78.54%	75.75%	81.32%	40.52%	35.62%	45.42%	5.12%	3.08%	7.16%	94.88%	92.84%	96.92%	59.48%	54.58%	64.38%
G (CLSI)	834	222	163	449	NWT	73.38%	94.48%	92.94%	96.03%	10.36%	6.35%	14.37%	3.76%	2.25%	5.26%	96.24%	94.74%	97.75%	89.64%	85.63%	93.65%
B (EUCAST)	536	84	11	441	R	82.28%	93.84%	91.81%	95.88%	26.32%	17.46%	35.17%	1.81%	0.57%	3.06%	98.19%	96.94%	99.43%	73.68%	64.83%	82.54%
B (EUCAST)	536	84	11	441	NWT	84.33%	95.71%	93.99%	97.42%	21.43%	12.65%	30.2%	1.11%	0.14%	2.07%	98.89%	97.93%	99.86%	78.57%	69.8%	87.35%
C (EUCAST)	485	168	62	255	R	52.58%	82.27%	78.87%	85.67%	22.61%	17.2%	28.01%	13.33%	9.16%	17.51%	86.67%	82.49%	90.84%	77.39%	71.99%	82.8%
C (EUCAST)	485	168	62	255	NWT	65.36%	87.22%	84.24%	90.19%	13.69%	8.49%	18.89%	12.3%	8.69%	15.92%	87.7%	84.08%	91.31%	86.31%	81.11%	91.51%
D (EUCAST)	295	242	16	37	R	12.54%	95.25%	92.83%	97.68%	2.33%	0.49%	4.16%	21.62%	8.36%	34.89%	78.38%	65.11%	91.64%	97.67%	95.84%	99.51%
D (EUCAST)	295	242	16	37	NWT	17.97%	94.58%	91.99%	97.16%	1.24%	-0.15%	2.63%	24.53%	12.94%	36.11%	75.47%	63.89%	87.06%	98.76%	97.37%	100.15%
IZSAM	283	7	3	273	R	96.47%	97.88%	96.2%	99.56%	30%	1.6%	58.4%	1.1%	-0.14%	2.34%	98.9%	97.66%	100.14%	70%	41.6%	98.4%
IZSAM	283	7	3	273	NWT	97.53%	98.23%	96.7%	99.77%	14.29%	-11.64%	40.21%	1.45%	0.04%	2.86%	98.55%	97.14%	99.96%	85.71%	59.79%	111.64%
H (CLSI)	251	109	14	128	R	51%	72.91%	67.41%	78.41%	44.72%	35.93%	53.5%	10.16%	4.92%	15.39%	89.84%	84.61%	95.08%	55.28%	46.5%	64.07%
